iso2,centroid.lon,centroid.lat,capital.lon,capital.lat
IT,10.44,44.931,12.48,41.9
IT,12.8333333333,42.8333333333,12.48,41.9
JM,-77.25,18.166667,-76.8,18.0
JM,-77.5,18.25,-76.8,18.0
JM,-77.32,18.151,-76.8,18.0
JP,138.0,36.0,139.75,35.68
JP,139.068,36.491,139.75,35.68
JE,-2.1167,49.2167,-2.1,49.18
JE,-2.16666666667,49.25,-2.1,49.18
JE,-2.129,49.219,-2.1,49.18
JO,35.557,31.763,35.93,31.95
JO,36.0,31.0,35.93,31.95
JO,36.319,30.703,35.93,31.95
KZ,62.0,48.0,71.42,51.17
KZ,52.994105,51.170692,71.42,51.17
KZ,68.0,48.0,71.42,51.17
KZ,67.301,48.16,71.42,51.17
KE,38.0,1.0,36.82,-1.28
KE,37.858,0.53,36.82,-1.28
KI,-170.0,-5.0,173.03,1.35
KI,173.0,1.41666666667,173.03,1.35
KI,175.036,-1.508,173.03,1.35
KW,47.75,29.5,47.97,29.37
KW,48.0,29.3333,47.97,29.37
KW,47.376,29.476,47.97,29.37
KW,47.966667,29.366667,47.97,29.37
KG,75.0,41.5,74.6,42.87
KG,75.0,41.0,74.6,42.87
KG,74.555,41.465,74.6,42.87
LA,105.0,18.0,102.6,17.97
LA,102.471,19.905,102.6,17.97
LV,25.0,57.0,24.1,56.95
LV,25.641,56.858,24.1,56.95
LB,35.8333,33.8333,35.5,33.87
LB,35.833333,33.833333,35.5,33.87
LB,35.8333333333,33.8333333333,35.5,33.87
LB,35.888,33.92,35.5,33.87
LS,28.25,-29.5,27.48,-29.32
LS,28.243,-29.581,27.48,-29.32
LS,28.5,-29.5,27.48,-29.32
LR,-9.5,6.5,-10.8,6.3
LR,-9.657,6.682,-10.8,6.3
LY,17.0,25.0,13.17,32.88
LY,18.0,27.0,13.17,32.88
LY,18.023,27.044,13.17,32.88
LI,9.533333,47.166667,9.52,47.13
LI,9.5333,47.1667,9.52,47.13
LI,9.555,47.153,9.52,47.13
LI,9.53333333333,47.2666666667,9.52,47.13
LT,24.0,56.0,25.32,54.68
LT,24.0,55.416667,25.32,54.68
LT,23.897,55.336,25.32,54.68
LU,6.166667,49.75,6.12,49.6
LU,6.1667,49.75,6.12,49.6
LU,6.17289,49.614273,6.12,49.6
LU,6.1333,49.6167,6.12,49.6
LU,6.09,49.627,6.12,49.6
LU,6.088,49.771,6.12,49.6
LU,6.16666666667,49.75,6.12,49.6
MO,113.546,22.2,,
MO,113.55,22.1666666667,,
MO,113.545,22.2,,
MK,21.75,41.666667,21.43,42.0
MK,21.75,41.666,21.43,42.0
MK,23.09373,41.405436,21.43,42.0
MK,21.698,41.6,21.43,42.0
MK,22.0,41.8333333333,21.43,42.0
MG,47.0,-20.0,47.52,-18.92
MG,46.706,-19.374,47.52,-18.92
MW,34.0,-13.5,33.78,-13.97
MW,33.808,-13.4,33.78,-13.97
MY,112.5,2.5,101.7,3.17
MY,102.195,4.201,101.7,3.17
MV,73.0,3.2,73.5,4.17
MV,73.0,3.25,73.5,4.17
MV,72.92,3.548,73.5,4.17
ML,-8.394,12.159,-8.0,12.65
ML,-4.0,17.0,-8.0,12.65
ML,-3.0,17.0,-8.0,12.65
ML,-3.524,17.35,-8.0,12.65
MT,14.4167,35.9167,14.5,35.88
MT,14.5833333333,35.8333333333,14.5,35.88
MT,14.442,35.89,14.5,35.88
MH,168.0,9.0,171.38,7.1
MH,168.963,7.595,171.38,7.1
MQ,-61.0,14.6667,,
MQ,-61.0833333333,14.6,,
MQ,-61.021,14.653,,
MR,-10.5,20.25,-15.97,18.07
MR,-12.0,20.0,-15.97,18.07
MR,-10.332,20.26,-15.97,18.07
MU,57.55,-20.2833,57.48,-20.15
MU,57.5833,-20.3,57.48,-20.15
MU,57.583,-20.255,57.48,-20.15
MU,57.55,-20.2833333333,57.48,-20.15
YT,45.1667,-12.8333,,
YT,45.1666666667,-12.8333333333,,
YT,45.155,-12.777,,
MX,-105.795982,30.562072,-99.13,19.43
MX,-109.418575,28.874224,-99.13,19.43
MX,-102.0,23.0,-99.13,19.43
MX,-99.733333,19.4,-99.13,19.43
MX,-102.535,23.951,-99.13,19.43
